Appearance,Assertiveness,Being_Someone_Special,Career,Control,Emotional_Stability,Family,Financial_Security,Friendships,Health,Independence,Intelligence,Love,Marriage,Personal_Recognition,Relationships,Spiritual_Life,Status,Success,Able_to_Make_a_Difference,Able_to_See_Results,Be_Own_Boss,Business_Location,Challenge,Competition_on_the_Job,Contribute_to_Society,Creativity,Excitement,Fast_Paced,Flexibility,Good_Benefits,Independence,Intellectual_Growth,Job_Security,Leadership,Manage_People,Outdoors,Personal_Leisure_Time,Power,Prestige,Promotion,Regular_Hours,Respect,Teamwork,Time_Alone,Time_for_Family,To_Be_Known,Travel,Variety,Wealth,Helping_People,#VALUE!
Not Important,Very important,Not Important,Very important,Essential,Desirable,Very important,Desirable,Essential,Very important,Essential,Essential,Very important,Desirable,Not Important,Desirable,Not Important,Not Important,Desirable,Not Important,Essential,Desirable,Desirable,Desirable,Not Important,Not Important,Very Important,Essential,Not Important,Very Important,Desirable,Essential,Essential,Desirable,Very Important,Not Important,Not Important,Very Important,Desirable,Not Important,Desirable,Very Important,Essential,Desirable,Very Important,Desirable,Not Important,Desirable,Not Important,Desirable,Not Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Essential,Desirable,Very important,Not Important,Essential,Very important,Essential,Very important,Essential,Desirable,Desirable,Very important,Desirable,Essential,Very important,Very important,Not Important,Very important,Desirable,Very Important,Desirable,Not Important,Essential,Not Important,Desirable,Essential,Essential,Not Important,Very Important,Very Important,Essential,Desirable,Essential,Very Important,Not Important,Not Important,Essential,Desirable,Desirable,Desirable,Very Important,Desirable,Not Important,Essential,Essential,Not Important,Not Important,Essential,Very Important,Desirable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential,Very important,Desirable,Essential,Essential,Very important,Very important,Essential,Not Important,Very important,Very important,Essential,Desirable,Not Important,Not Important,Desirable,Desirable,Desirable,Essential,Very Important,Essential,Essential,Desirable,Very Important,Very Important,Very Important,Essential,Essential,Not Important,Very Important,Very Important,Very Important,Essential,Essential,Very Important,Very Important,Desirable,Not Important,Desirable,Desirable,Very Important,Very Important,Essential,Very Important,Not Important,Desirable,Desirable,Very Important,Desirable,Essential,Desirable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Very important,Essential,Desirable,Desirable,Very important,Very important,Essential,Essential,Very important,Essential,Essential,Very important,Not Important,Desirable,Desirable,Not Important,Desirable,Very important,Desirable,Very Important,Not Important,Desirable,Very Important,Not Important,Desirable,Essential,Essential,Desirable,Essential,Essential,Desirable,Desirable,Essential,Very Important,Not Important,Not Important,Essential,Desirable,Desirable,Very Important,Desirable,Essential,Not Important,Desirable,Very Important,Not Important,Essential,Essential,Very Important,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Important,Not Important,Desirable,Not Important,Desirable,Essential,Desirable,Desirable,Essential,Very important,Desirable,Very important,Essential,Very important,Not Important,Essential,Essential,Not Important,Not Important,Very Important,Very Important,Not Important,Essential,Not Important,Not Important,Essential,Very Important,Desirable,Not Important,Desirable,Desirable,Desirable,Very Important,Desirable,Not Important,Not Important,Essential,Essential,Not Important,Not Important,Not Important,Desirable,Essential,Desirable,Essential,Desirable,Not Important,Essential,Not Important,Not Important,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very important,Very important,Desirable,Not Important,Not Important,Essential,Desirable,Essential,Essential,Desirable,Essential,Not Important,Essential,Desirable,Not Important,Essential,Desirable,Not Important,Not Important,Essential,Very Important,Very Important,Not Important,Not Important,Not Important,Desirable,Essential,Desirable,Not Important,Very Important,Desirable,Essential,Not Important,Very Important,Not Important,Not Important,Desirable,Essential,Not Important,Not Important,Not Important,Desirable,Not Important,Desirable,Essential,Essential,Desirable,Not Important,Very Important,Not Important,Desirable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very important,Desirable,Desirable,Very important,Very important,Essential,Essential,Essential,Very important,Essential,Essential,Essential,Very important,Very important,Desirable,Essential,Essential,Desirable,Essential,Essential,Very Important,Desirable,Desirable,Essential,Not Important,Essential,Very Important,Essential,Desirable,Desirable,Desirable,Very Important,Essential,Very Important,Very Important,Not Important,Very Important,Desirable,Desirable,Not Important,Desirable,Very Important,Essential,Desirable,Desirable,Essential,Essential,Very Important,Very Important,Very Important,Essential,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Desirable,Not Important,Essential,Very important,Very important,Essential,Essential,Essential,Desirable,Essential,Essential,Essential,Essential,Desirable,Very important,Not Important,Not Important,Essential,Desirable,Desirable,Desirable,Not Important,Very Important,Not Important,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Essential,Essential,Desirable,Not Important,Essential,Not Important,Desirable,Not Important,Essential,Desirable,Essential,Essential,Essential,Essential,Essential,Essential,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential,Not Important,Very important,Essential,Desirable,Desirable,Very important,Very important,Very important,Essential,Essential,Essential,Very important,Desirable,Very important,Very important,Not Important,Desirable,Essential,Essential,Very Important,Desirable,Desirable,Not Important,Not Important,Essential,Essential,Desirable,Not Important,Essential,Very Important,Not Important,Desirable,Desirable,Desirable,Not Important,Not Important,Desirable,Desirable,Very Important,Very Important,Very Important,Essential,Desirable,Not Important,Desirable,Essential,Very Important,Not Important,Desirable,Desirable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Desirable,Essential,Essential,Not Important,Essential,Essential,Very important,Desirable,Very important,Very important,Desirable,Very important,Essential,Desirable,Essential,Not Important,Not Important,Desirable,Essential,Desirable,Desirable,Not Important,Desirable,Not Important,Very Important,Essential,Very Important,Not Important,Very Important,Essential,Essential,Very Important,Essential,Desirable,Not Important,Essential,Very Important,Not Important,Desirable,Very Important,Desirable,Very Important,Desirable,Desirable,Very Important,Not Important,Desirable,Very Important,Desirable,Essential,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Important,Desirable,Desirable,Essential,Desirable,Very important,Essential,Essential,Essential,Essential,Very important,Very important,Desirable,Desirable,Not Important,Desirable,Not Important,Not Important,Very important,Very Important,Very Important,Not Important,Very Important,Desirable,Not Important,Very Important,Desirable,Not Important,Not Important,Essential,Essential,Very Important,Very Important,Essential,Desirable,Not Important,Not Important,Desirable,Not Important,Not Important,Very Important,Essential,Very Important,Very Important,Desirable,Essential,Not Important,Desirable,Desirable,Desirable,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very important,Not Important,Not Important,Very important,Not Important,Very important,Essential,Very important,Desirable,Essential,Very important,Essential,Essential,Desirable,Not Important,Desirable,Not Important,Not Important,Essential,Desirable,Very Important,Not Important,Not Important,Very Important,Not Important,Desirable,Very Important,Very Important,Not Important,Desirable,Desirable,Very Important,Essential,Very Important,Desirable,Not Important,Desirable,Not Important,Desirable,Not Important,Desirable,Desirable,Essential,Very Important,Essential,Essential,Desirable,Desirable,Desirable,Essential,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential,Desirable,Not Important,Essential,Desirable,Essential,Essential,Very important,Essential,Essential,Essential,Essential,Very important,Desirable,Desirable,Very important,Desirable,Not Important,Very important,Desirable,Very Important,Not Important,Desirable,Not Important,Not Important,Desirable,Not Important,Very Important,Not Important,Desirable,Very Important,Essential,Essential,Essential,Not Important,Not Important,Very Important,Very Important,Desirable,Desirable,Very Important,Desirable,Essential,Very Important,Very Important,Essential,Not Important,Desirable,Desirable,Desirable,Desirable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential,Very important,Essential,Very important,Very important,Very important,Essential,Essential,Essential,Essential,Essential,Essential,Very important,Not Important,Essential,Essential,Desirable,Very important,Essential,Essential,Essential,Very Important,Essential,Desirable,Desirable,Essential,Essential,Essential,Desirable,Desirable,Essential,Very Important,Essential,Desirable,Very Important,Not Important,Essential,Very Important,Desirable,Desirable,Very Important,Not Important,Essential,Desirable,Desirable,Very Important,Essential,Essential,Essential,Essential,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Essential,Desirable,Essential,Very important,Essential,Desirable,Desirable,Desirable,Essential,Very important,Essential,Desirable,Not Important,Essential,Not Important,Not Important,Not Important,Very important,Very Important,Very Important,Essential,Very Important,Desirable,Desirable,Essential,Essential,Essential,Not Important,Desirable,Desirable,Very Important,Essential,Very Important,Desirable,Very Important,Not Important,Desirable,Essential,Desirable,Desirable,Not Important,Essential,Not Important,Very Important,Desirable,Essential,Essential,Desirable,Desirable,Essential,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very important,Very important,Not Important,Desirable,Desirable,Essential,Essential,Essential,Very important,Very important,Essential,Desirable,Desirable,Not Important,Essential,Essential,Very important,Not Important,Not Important,Essential,Essential,Essential,Very Important,Very Important,Desirable,Essential,Very Important,Essential,Not Important,Essential,Desirable,Very Important,Very Important,Essential,Very Important,Very Important,Desirable,Very Important,Not Important,Not Important,Not Important,Not Important,Essential,Very Important,Not Important,Essential,Not Important,Essential,Desirable,Desirable,Essential,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Desirable,Very important,Essential,Desirable,Desirable,Essential,Desirable,Very important,Essential,Desirable,Very important,Essential,Not Important,Very important,Not Important,Not Important,Essential,Essential,Essential,Desirable,Essential,Not Important,Not Important,Not Important,Very Important,Essential,Essential,Not Important,Very Important,Essential,Essential,Essential,Desirable,Essential,Not Important,Not Important,Very Important,Very Important,Desirable,Essential,Essential,Essential,Not Important,Very Important,Essential,Not Important,Not Important,Very Important,Essential,Essential,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Very important,Not Important,Essential,Not Important,Essential,Desirable,Essential,Desirable,Essential,Essential,Very important,Desirable,Desirable,Very important,Very important,Not Important,Not Important,Very important,Very Important,Essential,Desirable,Desirable,Very Important,Desirable,Very Important,Desirable,Very Important,Not Important,Essential,Very Important,Essential,Essential,Essential,Very Important,Not Important,Not Important,Very Important,Not Important,Not Important,Desirable,Very Important,Essential,Essential,Essential,Very Important,Not Important,Desirable,Very Important,Desirable,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very important,Very important,Desirable,Very important,Desirable,Desirable,Essential,Essential,Very important,Essential,Desirable,Very important,Essential,Not Important,Very important,Very important,Essential,Desirable,Essential,Essential,Desirable,Desirable,Desirable,Very Important,Not Important,Very Important,Essential,Essential,Not Important,Essential,Desirable,Not Important,Essential,Desirable,Desirable,Not Important,Very Important,Very Important,Not Important,Desirable,Not Important,Desirable,Very Important,Very Important,Desirable,Very Important,Desirable,Essential,Desirable,Desirable,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential,Essential,Desirable,Desirable,Desirable,Essential,Very important,Essential,Desirable,Essential,Very important,Essential,Essential,Desirable,Desirable,Essential,Essential,Desirable,Very important,Very Important,Desirable,Desirable,Very Important,Very Important,Not Important,Very Important,Essential,Essential,Desirable,Very Important,Essential,Very Important,Essential,Very Important,Very Important,Not Important,Desirable,Desirable,Not Important,Desirable,Desirable,Not Important,Essential,Very Important,Very Important,Very Important,Desirable,Desirable,Very Important,Very Important,Very Important,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desirable,Essential,Not Important,Essential,Very important,Essential,Essential,Very important,Desirable,Essential,Essential,Desirable,Very important,Very important,Desirable,Very important,Essential,Not Important,Desirable,Very Important,Essential,Very Important,Desirable,Essential,Very Important,Desirable,Very Important,Very Important,Essential,Desirable,Very Important,Essential,Very Important,Essential,Essential,Very Important,Desirable,Desirable,Desirable,Desirable,Desirable,Not Important,Very Important,Very Important,Not Important,Very Important,Desirable,Desirable,Essential,Very Important,Essential,
